Index,Account #     , Meter #       , Usage Date   ,Month,Day, Usage (kWh)         , End Meter Read   , Daily Energy Cost Approx   , High Temperature      , Avg Temperature      ,Low Temperature   
1,184510001,137389, 09/01/2019   ,9,1,27,35647,2.51,86,77,73
2,184510001,137389, 09/02/2019   ,9,2,19,35666,1.75,94,84,74
3,184510001,137389, 09/03/2019   ,9,3,43,35709,3.97,91,80,70
4,184510001,137389, 09/04/2019   ,9,4,36,35745,3.32,91,78,67
5,184510001,137389, 09/05/2019   ,9,5,38,35783,3.5,93,79,70
6,184510001,137389, 09/06/2019   ,9,6,43,35826,3.96,70,63,59
7,184510001,137389, 09/07/2019   ,9,7,42,35868,3.87,71,64,57
8,184510001,137389, 09/08/2019   ,9,8,42,35910,3.87,64,53,46
9,184510001,137389, 09/09/2019   ,9,9,42,35952,3.87,62,51,42
10,184510001,137389, 09/10/2019   ,9,10,29,35981,2.67,60,50,42
11,184510001,137389, 09/11/2019   ,9,11,27,36008,2.49,56,50,45
12,184510001,137389, 09/12/2019   ,9,12,26,36034,2.4,60,50,42
13,184510001,137389, 09/13/2019   ,9,13,26,36060,2.4,47,46,43
14,184510001,137389, 09/14/2019   ,9,14,32,36092,2.95,65,52,43
15,184510001,137389, 09/15/2019   ,9,15,32,36124,2.95,48,43,40
16,184510001,137389, 09/16/2019   ,9,16,32,36156,2.95,48,43,35
17,184510001,137389, 09/17/2019   ,9,17,50,36206,4.61,60,60,46
18,184510001,137389, 09/18/2019   ,9,18,33,36239,3.05,52,47,37
19,184510001,137389, 09/19/2019   ,9,19,23,36262,2.12,49,39,30
20,184510001,137389, 09/20/2019   ,9,20,37,36299,3.41,56,45,36
21,184510001,137389, 09/21/2019   ,9,21,29,36328,2.67,66,55,47
22,184510001,137389, 09/22/2019   ,9,22,38,36366,3.5,48,40,34
23,184510001,137389, 09/23/2019   ,9,23,30,36396,2.76,90,81,74
24,184510001,137389, 09/24/2019   ,9,24,35,36431,3.23,92,81,71
25,184510001,137389, 09/25/2019   ,9,25,29,36460,2.67,89,80,73
26,184510001,137389, 09/26/2019   ,9,26,34,36494,3.12,81,69,60
27,184510001,137389, 09/27/2019   ,9,27,35,36529,3.21,81,68,61
28,184510001,137389, 09/28/2019   ,9,28,43,36572,3.96,79,70,60
29,184510001,137389, 09/29/2019   ,9,29,29,36601,2.67,64,56,47
30,184510001,137389, 09/30/2019   ,9,30,46,36647,4.22,73,62,56
31,184510001,137389, 10/01/2019   ,10,1,5,36652,0.46,69,59,52
32,184510001,137389, 10/02/2019   ,10,2,8,36660,0.74,66,57,50
33,184510001,137389, 10/03/2019   ,10,3,9,36669,0.83,58,51,43
34,184510001,137389, 10/04/2019   ,10,4,10,36679,0.92,62,52,43
35,184510001,137389, 10/05/2019   ,10,5,29,36708,2.67,50,42,36
36,184510001,137389, 10/06/2019   ,10,6,28,36736,2.58,65,57,51
37,184510001,137389, 10/07/2019   ,10,7,43,36779,3.96,66,61,50
38,184510001,137389, 10/08/2019   ,10,8,35,36814,3.22,54,47,43
39,184510001,137389, 10/09/2019   ,10,9,16,36830,1.47,51,43,36
40,184510001,137389, 10/10/2019   ,10,10,16,36846,1.47,54,46,40
41,184510001,137389, 10/11/2019   ,10,11,29,36875,2.67,44,41,35
42,184510001,137389, 10/12/2019   ,10,12,47,36922,4.33,38,33,28
43,184510001,137389, 10/13/2019   ,10,13,47,36969,4.33,55,46,39
44,184510001,137389, 10/14/2019   ,10,14,4,36973,0.37,51,49,47
45,184510001,137389, 10/15/2019   ,10,15,12,36985,1.11,56,44,34
46,184510001,137389, 10/16/2019   ,10,16,14,36999,1.29,85,77,69
47,184510001,137389, 10/17/2019   ,10,17,15,37014,1.38,96,84,74
48,184510001,137389, 10/18/2019   ,10,18,37,37051,3.41,100,86,76
49,184510001,137389, 10/19/2019   ,10,19,35,37086,3.22,96,83,73
50,184510001,137389, 10/20/2019   ,10,20,10,37096,0.92,84,77,72
51,184510001,137389, 10/21/2019   ,10,21,21,37117,1.93,80,71,64
52,184510001,137389, 10/22/2019   ,10,22,31,37148,2.86,76,67,59
